ReactionID,Aryl Halide,Boronate,Ligand,Base,Solvent,Yield
1,R1_Cl,R2_B(OH)2,P(tBu)3,NaOH,MeCN,4.760000229
2,R1_Cl,R2_B(OH)2,PPh3,NaOH,MeCN,4.119999886
3,R1_Cl,R2_B(OH)2,AmPhos,NaOH,MeCN,2.579999924
4,R1_Cl,R2_B(OH)2,P(Cy)3,NaOH,MeCN,4.440000057
5,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaOH,MeCN,1.950000048
6,R1_Cl,R2_B(OH)2,cataCXium A,NaOH,MeCN,3.25
7,R1_Cl,R2_B(OH)2,SPhos,NaOH,MeCN,86.26000214
8,R1_Cl,R2_B(OH)2,dtbpf,NaOH,MeCN,7.550000191
9,R1_Cl,R2_B(OH)2,XPhos,NaOH,MeCN,93.66999817
10,R1_Cl,R2_B(OH)2,dppf,NaOH,MeCN,14.31999969
11,R1_Cl,R2_B(OH)2,Xantphos,NaOH,MeCN,2.109999895
12,R1_Cl,R2_B(OH)2,Tol,NaOH,MeCN,17.09000015
13,R1_Cl,R2_B(OH)2,P(tBu)3,NaHCO3,MeCN,3.160000086
14,R1_Cl,R2_B(OH)2,PPh3,NaHCO3,MeCN,4.75
15,R1_Cl,R2_B(OH)2,AmPhos,NaHCO3,MeCN,2.460000038
16,R1_Cl,R2_B(OH)2,P(Cy)3,NaHCO3,MeCN,5.269999981
17,R1_Cl,R2_B(OH)2,P(o-Tol)3,NaHCO3,MeCN,1.960000038
18,R1_Cl,R2_B(OH)2,cataCXium A,NaHCO3,MeCN,3.349999905
19,R1_Cl,R2_B(OH)2,SPhos,NaHCO3,MeCN,69.22000122
20,R1_Cl,R2_B(OH)2,dtbpf,NaHCO3,MeCN,5.099999905
21,R1_Cl,R2_B(OH)2,XPhos,NaHCO3,MeCN,83.19000244
22,R1_Cl,R2_B(OH)2,dppf,NaHCO3,MeCN,13.68000031
23,R1_Cl,R2_B(OH)2,Xantphos,NaHCO3,MeCN,1.820000052
24,R1_Cl,R2_B(OH)2,Tol,NaHCO3,MeCN,10.98999977
25,R1_Cl,R2_B(OH)2,P(tBu)3,CsF,MeCN,1.789999962
26,R1_Cl,R2_B(OH)2,PPh3,CsF,MeCN,4.360000134
27,R1_Cl,R2_B(OH)2,AmPhos,CsF,MeCN,2.710000038
