"inputs[""Aryl Halide""].components[0].identifiers[0].value","inputs[""Boronate in Solvent""].components[0].identifiers[0].value","inputs[""Ligand in Solvent""].components[0].identifiers[0].value","inputs[""Base in Solvent""].components[0].identifiers[0].value","inputs[""Solvent_1""].components[0].identifiers[0].value",outcomes[0].products[0].measurements[0].percentage.value
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],CC#N,4.760000228881836
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,[OH-].[Na+],CC#N,4.119999885559082
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,[OH-].[Na+],CC#N,2.5799999237060547
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[OH-].[Na+],CC#N,4.440000057220459
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[OH-].[Na+],CC#N,1.950000047683716
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,[OH-].[Na+],CC#N,3.25
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[OH-].[Na+],CC#N,86.26000213623047
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],[OH-].[Na+],CC#N,7.550000190734863
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,[OH-].[Na+],CC#N,93.66999816894533
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],[OH-].[Na+],CC#N,14.31999969482422
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,[OH-].[Na+],CC#N,2.109999895095825
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,Cc1ccccc1,[OH-].[Na+],CC#N,17.09000015258789
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,C(=O)(O)[O-].[Na+],CC#N,3.1600000858306885
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,C(=O)(O)[O-].[Na+],CC#N,4.75
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,C(=O)(O)[O-].[Na+],CC#N,2.4600000381469727
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,C(=O)(O)[O-].[Na+],CC#N,5.269999980926514
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,C(=O)(O)[O-].[Na+],CC#N,1.9600000381469729
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CCCCP([C@@]12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3)[C@@]45C[C@H]6C[C@@H](C4)C[C@@H](C5)C6,C(=O)(O)[O-].[Na+],CC#N,3.3499999046325684
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,C(=O)(O)[O-].[Na+],CC#N,69.22000122070312
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.CC(C)(C)P([C]1[CH][CH][CH][CH]1)C(C)(C)C.[Fe],C(=O)(O)[O-].[Na+],CC#N,5.099999904632568
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)c1cc(c(c(c1)C(C)C)c2ccccc2P(C3CCCCC3)C4CCCCC4)C(C)C,C(=O)(O)[O-].[Na+],CC#N,83.19000244140625
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,c1ccc(cc1)P([c-]2cccc2)c3ccccc3.c1ccc(cc1)P([c-]2cccc2)c3ccccc3.[Fe+2],C(=O)(O)[O-].[Na+],CC#N,13.68000030517578
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC1(c2cccc(c2Oc3c1cccc3P(c4ccccc4)c5ccccc5)P(c6ccccc6)c7ccccc7)C,C(=O)(O)[O-].[Na+],CC#N,1.8200000524520876
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,Cc1ccccc1,C(=O)(O)[O-].[Na+],CC#N,10.989999771118164
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[F-].[Cs+],CC#N,1.7899999618530271
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,c1ccc(cc1)P(c2ccccc2)c3ccccc3,[F-].[Cs+],CC#N,4.360000133514404
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C.Cl[Pd]Cl,[F-].[Cs+],CC#N,2.7100000381469727
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,C1CCC(CC1)P(C2CCCCC2)C3CCCCC3,[F-].[Cs+],CC#N,6.489999771118164
ClC1=CC=C2N=CC=CC2=C1,B(c1c(ccc2c1cnn2C3CCCCO3)C)(O)O,Cc1ccccc1P(c2ccccc2C)c3ccccc3C,[F-].[Cs+],CC#N,2.0999999046325684
